"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","1229","none","none","0","1","4","x = 4","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","yes","1","4","2","1"
"Randomised","2079","minimal","one","0","1","6","x + 2 = 8","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","yes","2","6","2","2"
"Randomised","1474","minimal","one","0","0","7","x - 6 = 1","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","yes","2","5","2","3"
"Randomised","1182","none","none","0","1","4","x = 4","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","yes","1","4","2","4"
"Randomised","1779","one","one","1","1","8","5x = 40","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","4","8","2","5"
"Randomised","2184","one","none","1","1","7","x = 49 / 7","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","3","7","2","6"
"Randomised","1254","minimal","one","1","1","5","x + 3 = 8","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","2","5","2","7"
"Randomised","1117","none","none","1","1","9","x = 9","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","1","9","2","8"
"Randomised","2610","two","two","1","1","6","6x + 7 = 43","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","5","6","2","9"
"Randomised","1606","two","two","2","1","2","5x + 2 = 12","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","5","2","2","10"
"Randomised","1058","none","none","2","1","7","x = 7","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","1","7","2","11"
"Randomised","1489","one","none","2","1","6","x = 12 / 2","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","3","6","2","12"
"Randomised","1253","minimal","one","2","0","9","x - 2 = 7","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","2","5","2","13"
"Randomised","1597","one","one","2","1","5","2x = 10","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","4","5","2","14"
"Randomised","2578","two","two","3","1","6","5x - 4 = 26","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","5","6","2","15"
"Randomised","1132","none","none","3","1","5","x = 5","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","1","5","2","16"
"Randomised","1369","minimal","one","3","1","7","x - 1 = 6","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","2","7","2","17"
"Randomised","1322","one","none","3","1","3","x = 9 / 3","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","3","3","2","18"
"Randomised","1231","one","one","3","1","5","5x = 25","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","4","5","2","19"
"Randomised","1315","one","none","4","1","5","x = 40 / 8","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","3","5","2","20"
"Randomised","953","minimal","one","4","1","7","x + 1 = 8","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","2","7","2","21"
"Randomised","1421","one","one","4","1","5","4x = 20","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","4","5","2","22"
"Randomised","1111","none","none","4","1","5","x = 5","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","1","5","2","23"
"Randomised","2831","two","two","4","1","2","6x - 1 = 11","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","5","2","2","24"
"Randomised","838","one","one","5","1","2","5x = 10","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","4","2","2","25"
"Randomised","2086","two","two","5","0","5","7x + 9 = 44","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","5","8","2","26"
"Randomised","1497","one","none","5","1","6","x = 42 / 7","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","3","6","2","27"
"Randomised","1095","none","none","5","1","9","x = 9","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","1","9","2","28"
"Randomised","2065","minimal","one","5","1","2","x - 1 = 1","Mon Sep 29 12:37:40 2025","algebra_randomised.osexp","no","2","2","2","29"
