"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","1731","none","none","0","1","9","x = 9","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","yes","1","9","1","1"
"Randomised","4132","minimal","one","0","1","6","x - 4 = 2","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","yes","2","6","1","2"
"Randomised","2649","minimal","one","0","1","5","x - 2 = 3","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","yes","2","5","1","3"
"Randomised","1608","none","none","0","1","8","x = 8","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","yes","1","8","1","4"
"Randomised","1454","none","none","1","1","7","x = 7","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","1","7","1","5"
"Randomised","1657","one","one","1","1","1","2x = 2","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","4","1","1","6"
"Randomised","1771","minimal","one","1","1","1","x + 7 = 8","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","2","1","1","7"
"Randomised","2714","one","none","1","1","2","x = 18 / 9","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","3","2","1","8"
"Randomised","3790","two","two","1","1","8","3x + 4 = 28","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","5","8","1","9"
"Randomised","1445","none","none","2","1","3","x = 3","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","1","3","1","10"
"Randomised","1548","minimal","one","2","1","1","x + 3 = 4","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","2","1","1","11"
"Randomised","5001","two","two","2","0","4","2x + 9 = 17","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","5","None","1","12"
"Randomised","1876","one","none","2","1","2","x = 10 / 5","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","3","2","1","13"
"Randomised","1357","one","one","2","1","1","6x = 6","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","4","1","1","14"
"Randomised","1820","minimal","one","3","1","6","x + 2 = 8","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","2","6","1","15"
"Randomised","1180","none","none","3","1","2","x = 2","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","1","2","1","16"
"Randomised","4939","two","two","3","1","3","3x - 1 = 8","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","5","3","1","17"
"Randomised","1495","one","one","3","1","3","9x = 27","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","4","3","1","18"
"Randomised","1489","one","none","3","1","3","x = 12 / 4","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","3","3","1","19"
"Randomised","1699","one","none","4","1","9","x = 18 / 2","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","3","9","1","20"
"Randomised","1361","none","none","4","1","2","x = 2","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","1","2","1","21"
"Randomised","2624","one","one","4","1","6","4x = 24","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","4","6","1","22"
"Randomised","3013","minimal","one","4","1","8","x + 1 = 9","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","2","8","1","23"
"Randomised","1880","two","two","4","1","1","8x + 7 = 15","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","5","1","1","24"
"Randomised","3196","two","two","5","1","8","7x - 4 = 52","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","5","8","1","25"
"Randomised","1939","minimal","one","5","1","1","x + 8 = 9","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","2","1","1","26"
"Randomised","1456","one","one","5","1","2","2x = 4","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","4","2","1","27"
"Randomised","3087","one","none","5","0","9","x = 45 / 5","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","3","8","1","28"
"Randomised","1512","none","none","5","1","5","x = 5","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","1","5","1","29"
"Randomised","2427","two","two","6","1","3","4x + 2 = 14","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","5","3","1","30"
"Randomised","2050","minimal","one","6","1","6","x + 3 = 9","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","2","6","1","31"
"Randomised","1711","none","none","6","1","4","x = 4","Fri Sep 26 12:55:53 2025","algebra_randomised.osexp","no","1","4","1","32"
