"Condition","RT_response","correct","correct_response","cur_problem","datetime","experiment_file","fbstate","noprogress","num_correct","practice","problem_type","response","subject_nr","trial","trial_index_inlevel","trials_since_levelup"
"Randomised","1480","1","4","x = 4","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","yes","1","4","3","1","0","0"
"Randomised","1418","1","3","x + 4 = 7","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","yes","2","3","3","2","0","0"
"Randomised","1824","1","9","x = 9","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","yes","1","9","3","3","0","0"
"Randomised","2004","1","5","x - 2 = 3","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","yes","2","5","3","4","0","0"
"Progressive","1676","1","6","x = 6","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","no","1","6","3","5","1","1"
"Progressive","1143","1","2","x = 2","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","1","no","1","2","3","6","2","2"
"Progressive","1247","1","5","x = 5","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","2","no","1","5","3","7","3","3"
"Progressive","1024","1","2","x = 2","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","3","no","1","2","3","8","4","4"
"Progressive","1609","1","5","x = 5","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","4","no","1","5","3","9","5","5"
"Progressive","1243","1","8","x = 8","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","5","no","1","8","3","10","6","6"
"Progressive","933","1","2","x = 2","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","6","no","1","2","3","11","7","7"
"Progressive","1378","1","7","x = 7","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","7","no","1","7","3","12","8","8"
"Progressive","1213","1","6","x = 6","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","8","no","1","6","3","13","9","9"
"Progressive","1071","1","7","x = 7","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","9","no","1","7","3","14","10","10"
"Progressive","1384","0","6","x + 1 = 7","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","wrong","0","0","no","2","8","3","15","1","1"
"Progressive","2075","1","9","x + 1 = 10","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","-1","no","2","9","3","16","2","2"
"Progressive","1478","1","7","x - 4 = 3","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","no","2","7","3","17","3","3"
"Progressive","1640","1","5","x + 4 = 9","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","1","no","2","5","3","18","4","4"
"Progressive","1539","1","7","x + 3 = 10","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","2","no","2","7","3","19","5","5"
"Progressive","2653","1","4","x - 2 = 2","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","3","no","2","4","3","20","6","6"
"Progressive","1716","1","9","x - 7 = 2","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","4","no","2","9","3","21","7","7"
"Progressive","1898","1","8","x - 3 = 5","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","5","no","2","8","3","22","8","8"
"Progressive","1955","1","2","x - 1 = 1","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","6","no","2","2","3","23","9","9"
"Progressive","1646","1","6","x - 5 = 1","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","7","no","2","6","3","24","10","10"
"Progressive","1880","1","5","x + 1 = 6","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","8","no","2","5","3","25","11","11"
"Progressive","1855","1","8","x - 2 = 6","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","9","no","2","8","3","26","12","12"
"Progressive","3348","1","8","x = 72 / 9","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","no","3","8","3","27","1","1"
"Progressive","1436","1","9","x = 81 / 9","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","1","no","3","9","3","28","2","2"
"Progressive","1925","1","8","x = 40 / 5","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","2","no","3","8","3","29","3","3"
"Progressive","1445","1","4","x = 12 / 3","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","3","no","3","4","3","30","4","4"
"Progressive","1459","1","2","x = 16 / 8","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","4","no","3","2","3","31","5","5"
"Progressive","1148","1","3","x = 12 / 4","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","5","no","3","3","3","32","6","6"
"Progressive","1916","1","3","x = 27 / 9","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","6","no","3","3","3","33","7","7"
"Progressive","1362","1","1","x = 5 / 5","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","7","no","3","1","3","34","8","8"
"Progressive","1506","1","3","x = 27 / 9","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","8","no","3","3","3","35","9","9"
"Progressive","1898","1","4","x = 24 / 6","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","9","no","3","4","3","36","10","10"
"Progressive","1918","1","2","5x = 10","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","no","4","2","3","37","1","1"
"Progressive","2173","1","9","2x = 18","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","1","no","4","9","3","38","2","2"
"Progressive","2658","1","7","8x = 56","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","2","no","4","7","3","39","3","3"
"Progressive","1265","1","7","7x = 49","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","3","no","4","7","3","40","4","4"
"Progressive","2491","1","4","7x = 28","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","4","no","4","4","3","41","5","5"
"Progressive","2901","1","8","4x = 32","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","5","no","4","8","3","42","6","6"
"Progressive","2010","1","5","2x = 10","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","6","no","4","5","3","43","7","7"
"Progressive","1113","1","2","6x = 12","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","7","no","4","2","3","44","8","8"
"Progressive","1657","1","3","9x = 27","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","8","no","4","3","3","45","9","9"
"Progressive","1417","1","7","2x = 14","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","9","no","4","7","3","46","10","10"
"Progressive","4558","1","1","8x + 7 = 15","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","0","no","5","1","3","47","1","1"
"Progressive","4526","1","8","7x + 8 = 64","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","1","no","5","8","3","48","2","2"
"Progressive","3721","1","6","7x - 1 = 41","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","2","no","5","6","3","49","3","3"
"Progressive","3507","1","5","7x + 7 = 42","Mon Sep 29 15:01:00 2025","algebra_progressive.osexp","correct","0","3","no","5","5","3","50","4","4"
