"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","4157","minimal","one","0","1","2","x - 1 = 1","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","yes","2","2","3","1"
"Randomised","2948","none","none","0","1","6","x = 6","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","yes","1","6","3","2"
"Randomised","2465","minimal","one","0","1","4","x + 2 = 6","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","yes","2","4","3","3"
"Randomised","2292","none","none","0","1","8","x = 8","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","yes","1","8","3","4"
"Randomised","2164","one","none","1","1","3","x = 21 / 7","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","3","3","3","5"
"Randomised","2597","one","one","1","1","5","9x = 45","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","4","5","3","6"
"Randomised","1822","minimal","one","1","1","5","x - 2 = 3","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","2","5","3","7"
"Randomised","5001","two","two","1","0","7","6x - 5 = 37","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","5","None","3","8"
"Randomised","2114","none","none","1","1","5","x = 5","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","1","5","3","9"
"Randomised","2054","one","none","2","1","2","x = 6 / 3","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","3","2","3","10"
"Randomised","1432","none","none","2","1","3","x = 3","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","1","3","3","11"
"Randomised","1978","minimal","one","2","1","6","x + 1 = 7","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","2","6","3","12"
"Randomised","1654","one","one","2","1","2","6x = 12","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","4","2","3","13"
"Randomised","5001","two","two","2","0","7","9x + 1 = 64","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","5","None","3","14"
"Randomised","3957","two","two","3","1","7","3x - 5 = 16","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","5","7","3","15"
"Randomised","1784","one","one","3","1","6","6x = 36","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","4","6","3","16"
"Randomised","2111","minimal","one","3","1","6","x + 3 = 9","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","2","6","3","17"
"Randomised","1360","none","none","3","1","3","x = 3","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","1","3","3","18"
"Randomised","1353","one","none","3","1","1","x = 9 / 9","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","3","1","3","19"
"Randomised","3412","two","two","4","1","2","7x + 7 = 21","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","5","2","3","20"
"Randomised","2987","one","none","4","1","8","x = 72 / 9","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","3","8","3","21"
"Randomised","1509","none","none","4","1","5","x = 5","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","1","5","3","22"
"Randomised","1810","minimal","one","4","1","1","x + 8 = 9","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","2","1","3","23"
"Randomised","1391","one","one","4","1","1","9x = 9","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","4","1","3","24"
"Randomised","2095","one","one","5","1","5","4x = 20","Fri Sep 26 13:21:25 2025","algebra_randomised.osexp","no","4","5","3","25"
