"Condition","RT_response","correct","correct_response","cur_problem","datetime","experiment_file","fbstate","noprogress","num_correct","practice","problem_type","response","subject_nr","trial","trial_index_inlevel","trials_since_levelup"
"Randomised","1392","1","1","x = 1","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","yes","1","1","5","1","0","0"
"Randomised","2891","1","7","x - 6 = 1","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","yes","2","7","5","2","0","0"
"Randomised","2162","1","5","x = 5","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","yes","1","5","5","3","0","0"
"Randomised","2497","1","6","x + 2 = 8","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","yes","2","6","5","4","0","0"
"Progressive","1715","1","9","x = 9","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","1","9","5","5","1","1"
"Progressive","1544","1","3","x = 3","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","1","no","1","3","5","6","2","2"
"Progressive","1803","1","9","x = 9","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","2","no","1","9","5","7","3","3"
"Progressive","1506","1","3","x = 3","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","3","no","1","3","5","8","4","4"
"Progressive","1623","1","6","x = 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","4","no","1","6","5","9","5","5"
"Progressive","1303","1","6","x = 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","5","no","1","6","5","10","6","6"
"Progressive","1247","1","2","x = 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","6","no","1","2","5","11","7","7"
"Progressive","1076","1","2","x = 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","7","no","1","2","5","12","8","8"
"Progressive","1598","1","4","x = 4","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","8","no","1","4","5","13","9","9"
"Progressive","1189","1","6","x = 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","9","no","1","6","5","14","10","10"
"Progressive","2599","1","3","x + 1 = 4","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","2","3","5","15","1","1"
"Progressive","1740","1","7","x + 3 = 10","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","1","no","2","7","5","16","2","2"
"Progressive","2777","1","4","x - 3 = 1","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","2","no","2","4","5","17","3","3"
"Progressive","5001","0","5","x - 3 = 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","tooslow","0","3","no","2","None","5","18","4","4"
"Progressive","2501","1","1","x + 8 = 9","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","2","no","2","1","5","19","5","5"
"Progressive","2850","1","9","x + 1 = 10","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","3","no","2","9","5","20","6","6"
"Progressive","1678","1","7","x + 3 = 10","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","4","no","2","7","5","21","7","7"
"Progressive","2278","1","6","x + 4 = 10","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","5","no","2","6","5","22","8","8"
"Progressive","2390","1","9","x + 1 = 10","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","6","no","2","9","5","23","9","9"
"Progressive","2155","1","2","x - 1 = 1","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","7","no","2","2","5","24","10","10"
"Progressive","1947","1","4","x - 1 = 3","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","8","no","2","4","5","25","11","11"
"Progressive","1207","1","3","x - 2 = 1","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","9","no","2","3","5","26","12","12"
"Progressive","2062","1","1","x = 3 / 3","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","3","1","5","27","1","1"
"Progressive","5001","0","8","x = 40 / 5","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","tooslow","0","1","no","3","None","5","28","2","2"
"Progressive","1690","1","3","x = 9 / 3","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","3","3","5","29","3","3"
"Progressive","3594","0","4","x = 36 / 9","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","1","no","3","7","5","30","4","4"
"Progressive","1246","1","1","x = 6 / 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","3","1","5","31","5","5"
"Progressive","1289","1","1","x = 2 / 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","1","no","3","1","5","32","6","6"
"Progressive","5000","0","9","x = 45 / 5","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","tooslow","0","2","no","3","None","5","33","7","7"
"Progressive","2281","1","5","x = 10 / 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","1","no","3","5","5","34","8","8"
"Progressive","2006","1","6","x = 12 / 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","2","no","3","6","5","35","9","9"
"Progressive","3276","0","5","x = 35 / 7","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","3","no","3","6","5","36","10","10"
"Progressive","2391","1","6","x = 30 / 5","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","2","no","3","6","5","37","11","11"
"Progressive","1456","1","2","x = 8 / 4","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","3","no","3","2","5","38","12","12"
"Progressive","1723","1","1","x = 6 / 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","4","no","3","1","5","39","13","13"
"Progressive","2231","1","6","x = 18 / 3","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","5","no","3","6","5","40","14","14"
"Progressive","3274","0","5","x = 35 / 7","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","6","no","3","6","5","41","15","15"
"Progressive","1085","1","1","x = 2 / 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","5","no","3","1","5","42","16","16"
"Progressive","2500","1","6","x = 48 / 8","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","6","no","3","6","5","43","17","17"
"Progressive","1219","1","1","x = 6 / 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","7","no","3","1","5","44","18","18"
"Progressive","3731","1","8","x = 24 / 3","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","8","no","3","8","5","45","19","19"
"Progressive","2969","1","7","x = 42 / 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","9","no","3","7","5","46","20","20"
"Progressive","2630","1","2","7x = 14","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","4","2","5","47","1","1"
"Progressive","1921","1","3","5x = 15","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","1","no","4","3","5","48","2","2"
"Progressive","2177","1","6","4x = 24","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","2","no","4","6","5","49","3","3"
"Progressive","1597","1","7","3x = 21","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","3","no","4","7","5","50","4","4"
"Progressive","4740","0","3","8x = 24","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","4","no","4","6","5","51","5","5"
"Progressive","1766","1","1","2x = 2","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","3","no","4","1","5","52","6","6"
"Progressive","2405","0","4","3x = 12","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","4","no","4","6","5","53","7","7"
"Progressive","2635","1","4","8x = 32","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","3","no","4","4","5","54","8","8"
"Progressive","2028","1","3","2x = 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","4","no","4","3","5","55","9","9"
"Progressive","2237","1","8","2x = 16","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","5","no","4","8","5","56","10","10"
"Progressive","2775","1","9","2x = 18","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","6","no","4","9","5","57","11","11"
"Progressive","1589","1","8","2x = 16","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","7","no","4","8","5","58","12","12"
"Progressive","1402","1","1","6x = 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","8","no","4","1","5","59","13","13"
"Progressive","1671","1","2","3x = 6","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","9","no","4","2","5","60","14","14"
"Progressive","5001","0","3","3x - 1 = 8","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","tooslow","0","0","no","5","None","5","61","1","1"
"Progressive","3448","1","5","2x + 1 = 11","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","-1","no","5","5","5","62","2","2"
"Progressive","4135","1","8","6x + 1 = 49","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","5","8","5","63","3","3"
"Progressive","3861","0","4","2x + 3 = 11","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","1","no","5","5","5","64","4","4"
"Progressive","3377","0","6","9x - 3 = 51","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","0","no","5","9","5","65","5","5"
"Progressive","4453","1","5","9x - 2 = 43","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","-1","no","5","5","5","66","6","6"
"Progressive","3878","1","4","7x - 1 = 27","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","0","no","5","4","5","67","7","7"
"Progressive","3503","1","6","2x + 2 = 14","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","1","no","5","6","5","68","8","8"
"Progressive","4391","0","9","5x - 4 = 41","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","wrong","0","2","no","5","6","5","69","9","9"
"Progressive","3308","1","6","3x - 4 = 14","Mon Sep 29 14:52:39 2025","algebra_progressive.osexp","correct","0","1","no","5","6","5","70","10","10"
