"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","2105","none","none","0","1","2","x = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","yes","1","2","1","1"
"Randomised","2224","none","none","0","1","8","x = 8","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","yes","1","8","1","2"
"Randomised","4942","minimal","one","0","1","5","x - 3 = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","yes","2","5","1","3"
"Randomised","2633","minimal","one","0","1","8","x + 2 = 10","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","yes","2","8","1","4"
"Randomised","2298","minimal","one","1","1","8","x - 4 = 4","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","8","1","5"
"Randomised","1652","none","none","1","1","3","x = 3","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","3","1","6"
"Randomised","3434","minimal","one","1","1","1","x + 6 = 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","1","1","7"
"Randomised","5000","two","two","1","0","9","4x - 7 = 29","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","8"
"Randomised","1620","none","none","1","1","6","x = 6","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","6","1","9"
"Randomised","4001","one","one","1","0","6","8x = 48","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","9","1","10"
"Randomised","5001","one","none","1","0","5","x = 45 / 9","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","None","1","11"
"Randomised","4998","two","two","1","1","2","6x - 1 = 11","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","2","1","12"
"Randomised","5000","one","one","1","0","9","3x = 27","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","None","1","13"
"Randomised","5000","one","none","1","0","3","x = 15 / 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","None","1","14"
"Randomised","5000","one","none","2","0","5","x = 35 / 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","None","1","15"
"Randomised","5000","minimal","one","2","0","5","x - 4 = 1","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","None","1","16"
"Randomised","5000","two","two","2","0","5","3x - 1 = 14","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","17"
"Randomised","1458","none","none","2","1","6","x = 6","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","6","1","18"
"Randomised","3782","one","one","2","0","4","6x = 24","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","5","1","19"
"Randomised","1619","none","none","2","1","2","x = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","2","1","20"
"Randomised","1583","one","one","2","1","5","3x = 15","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","5","1","21"
"Randomised","2181","one","none","2","1","1","x = 5 / 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","1","1","22"
"Randomised","4551","two","two","2","1","6","3x - 5 = 13","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","6","1","23"
"Randomised","3333","minimal","one","2","1","5","x - 4 = 1","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","5","1","24"
"Randomised","3395","one","one","3","1","4","7x = 28","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","4","1","25"
"Randomised","5001","one","one","3","0","4","3x = 12","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","None","1","26"
"Randomised","2315","none","none","3","1","8","x = 8","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","8","1","27"
"Randomised","3014","two","two","3","1","8","2x - 6 = 10","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","8","1","28"
"Randomised","1414","none","none","3","1","5","x = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","5","1","29"
"Randomised","4192","two","two","3","1","4","4x + 2 = 18","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","4","1","30"
"Randomised","2977","one","none","3","1","5","x = 25 / 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","5","1","31"
"Randomised","2558","one","none","3","1","3","x = 27 / 9","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","3","1","32"
"Randomised","2931","minimal","one","3","1","8","x - 3 = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","8","1","33"
"Randomised","2291","minimal","one","3","1","8","x + 2 = 10","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","8","1","34"
"Randomised","1345","none","none","4","1","3","x = 3","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","3","1","35"
"Randomised","2715","one","none","4","1","2","x = 10 / 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","2","1","36"
"Randomised","5000","two","two","4","0","6","3x - 5 = 13","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","37"
"Randomised","2887","minimal","one","4","1","3","x + 3 = 6","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","3","1","38"
"Randomised","1283","none","none","4","1","7","x = 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","7","1","39"
"Randomised","4802","one","none","4","0","7","x = 42 / 6","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","4","1","40"
"Randomised","3771","one","one","4","1","5","4x = 20","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","5","1","41"
"Randomised","2142","one","one","4","0","4","9x = 36","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","6","1","42"
"Randomised","3510","minimal","one","4","1","3","x + 2 = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","3","1","43"
"Randomised","4488","two","two","4","0","8","9x - 7 = 65","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","5","1","44"
"Randomised","5000","two","two","5","0","8","3x + 7 = 31","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","45"
"Randomised","4150","two","two","5","0","6","9x + 7 = 61","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","7","1","46"
"Randomised","2494","one","none","5","1","4","x = 16 / 4","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","4","1","47"
"Randomised","3492","minimal","one","5","1","2","x + 2 = 4","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","2","1","48"
"Randomised","1513","one","none","5","1","5","x = 25 / 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","5","1","49"
"Randomised","1792","minimal","one","5","1","7","x + 1 = 8","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","7","1","50"
"Randomised","2404","one","one","5","1","5","6x = 30","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","5","1","51"
"Randomised","2423","none","none","5","1","9","x = 9","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","9","1","52"
"Randomised","1532","none","none","5","1","1","x = 1","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","1","1","53"
"Randomised","2423","one","one","5","1","2","9x = 18","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","2","1","54"
"Randomised","3018","two","two","6","0","4","2x - 1 = 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","3","1","55"
"Randomised","2874","minimal","one","6","1","5","x - 4 = 1","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","5","1","56"
"Randomised","1457","none","none","6","1","2","x = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","2","1","57"
"Randomised","1776","one","one","6","1","7","2x = 14","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","7","1","58"
"Randomised","4396","minimal","one","6","0","8","x - 2 = 6","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","7","1","59"
"Randomised","1555","none","none","6","1","5","x = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","5","1","60"
"Randomised","4420","one","none","6","1","9","x = 63 / 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","9","1","61"
"Randomised","2995","one","one","6","1","9","6x = 54","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","9","1","62"
"Randomised","2108","one","none","6","1","2","x = 8 / 4","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","2","1","63"
"Randomised","5000","two","two","6","0","8","3x - 7 = 17","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","64"
"Randomised","3104","two","two","7","1","2","7x - 1 = 13","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","2","1","65"
"Randomised","1789","one","one","7","0","9","3x = 27","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","7","1","66"
"Randomised","1504","none","none","7","1","6","x = 6","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","6","1","67"
"Randomised","4039","one","none","7","0","8","x = 56 / 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","6","1","68"
"Randomised","2091","none","none","7","1","5","x = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","5","1","69"
"Randomised","1667","one","one","7","1","2","9x = 18","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","2","1","70"
"Randomised","1639","one","none","7","1","1","x = 7 / 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","1","1","71"
"Randomised","4313","two","two","7","1","5","3x - 2 = 13","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","5","1","72"
"Randomised","2086","minimal","one","7","1","4","x + 1 = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","4","1","73"
"Randomised","3287","minimal","one","7","1","3","x - 2 = 1","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","3","1","74"
"Randomised","1421","none","none","8","1","5","x = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","5","1","75"
"Randomised","2732","minimal","one","8","1","6","x - 4 = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","6","1","76"
"Randomised","1590","none","none","8","1","5","x = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","5","1","77"
"Randomised","2643","one","none","8","1","6","x = 30 / 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","6","1","78"
"Randomised","1845","one","none","8","1","4","x = 16 / 4","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","4","1","79"
"Randomised","2260","one","one","8","0","9","6x = 54","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","6","1","80"
"Randomised","5000","two","two","8","0","3","6x - 2 = 16","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","81"
"Randomised","2179","minimal","one","8","1","3","x + 6 = 9","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","3","1","82"
"Randomised","1706","one","one","8","1","1","8x = 8","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","1","1","83"
"Randomised","5000","two","two","8","0","4","9x + 6 = 42","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","84"
"Randomised","1911","minimal","one","9","1","4","x - 2 = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","4","1","85"
"Randomised","1513","one","none","9","1","1","x = 9 / 9","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","1","1","86"
"Randomised","2721","one","one","9","1","8","2x = 16","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","8","1","87"
"Randomised","2529","none","none","9","1","9","x = 9","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","9","1","88"
"Randomised","3423","two","two","9","1","9","2x - 4 = 14","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","9","1","89"
"Randomised","3062","minimal","one","9","1","3","x - 1 = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","3","1","90"
"Randomised","1863","none","none","9","1","5","x = 5","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","5","1","91"
"Randomised","2364","one","none","9","0","9","x = 36 / 4","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","6","1","92"
"Randomised","2917","one","one","9","0","8","6x = 48","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","7","1","93"
"Randomised","5000","two","two","9","0","6","7x + 8 = 50","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","None","1","94"
"Randomised","4193","one","one","10","0","8","7x = 56","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","6","1","95"
"Randomised","4731","minimal","one","10","1","3","x - 1 = 2","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","3","1","96"
"Randomised","4034","one","none","10","1","9","x = 72 / 8","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","9","1","97"
"Randomised","1903","minimal","one","10","1","2","x - 1 = 1","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","2","2","1","98"
"Randomised","2402","none","none","10","1","4","x = 4","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","4","1","99"
"Randomised","3101","one","one","10","0","4","3x = 12","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","4","3","1","100"
"Randomised","2322","none","none","10","1","8","x = 8","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","1","8","1","101"
"Randomised","1689","one","none","10","0","7","x = 56 / 8","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","3","6","1","102"
"Randomised","4849","two","two","10","1","5","2x - 1 = 9","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","5","1","103"
"Randomised","3458","two","two","10","1","2","4x - 1 = 7","Wed Nov 12 10:39:26 2025","algebra_eyetracking.osexp","no","5","2","1","104"
