"Condition","RT_response","Retrieval","Transformation","block","correct","correct_response","cur_problem","datetime","experiment_file","practice","problem_type","response","subject_nr","trial"
"Randomised","2747","minimal","one","0","1","2","x - 1 = 1","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","yes","2","2","2","1"
"Randomised","1731","none","none","0","1","5","x = 5","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","yes","1","5","2","2"
"Randomised","1358","none","none","0","1","1","x = 1","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","yes","1","1","2","3"
"Randomised","3060","minimal","one","0","1","9","x - 6 = 3","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","yes","2","9","2","4"
"Randomised","1984","one","none","1","1","1","x = 5 / 5","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","3","1","2","5"
"Randomised","4314","two","two","1","1","8","7x - 5 = 51","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","5","8","2","6"
"Randomised","2500","minimal","one","1","1","5","x - 3 = 2","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","2","5","2","7"
"Randomised","1330","none","none","1","1","5","x = 5","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","1","5","2","8"
"Randomised","1197","none","none","1","1","2","x = 2","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","1","2","2","9"
"Randomised","2247","one","one","1","1","8","7x = 56","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","4","8","2","10"
"Randomised","2970","two","two","1","1","2","8x + 1 = 17","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","5","2","2","11"
"Randomised","2838","minimal","one","1","1","7","x - 2 = 5","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","2","7","2","12"
"Randomised","1631","one","none","1","1","7","x = 56 / 8","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","3","7","2","13"
"Randomised","1421","one","one","1","1","1","8x = 8","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","4","1","2","14"
"Randomised","2484","minimal","one","2","1","8","x - 6 = 2","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","2","8","2","15"
"Randomised","2132","one","one","2","1","5","8x = 40","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","4","5","2","16"
"Randomised","2375","one","none","2","1","6","x = 24 / 4","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","3","6","2","17"
"Randomised","1627","one","one","2","1","6","6x = 36","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","4","6","2","18"
"Randomised","2002","minimal","one","2","1","8","x + 2 = 10","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","2","8","2","19"
"Randomised","3421","two","two","2","0","8","3x - 7 = 17","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","5","6","2","20"
"Randomised","1294","none","none","2","1","7","x = 7","Wed Nov 12 10:59:57 2025","algebra_eyetracking.osexp","no","1","7","2","21"
